,attraction_id,name,country,province,city,location__lat,location__lng,price,rating,attraction,category
0,0,vancouver_city_sightseeing_tour,canada,british_columbia,vancouver,49.1978322,-123.0649959,80.0,4.5,https://tripadvisor.ca/AttractionProductDetail-g154943-d11450219-Vancouver_City_Sightseeing_Tour-Vancouver_British_Columbia.html,featured_tours_and_tickets
1,1,vancouver_to_victoria_and_butchart_gardens_tour_by_bus,canada,british_columbia,vancouver,49.1978322,-123.0649959,210.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g154943-d11450220-Vancouver_to_Victoria_and_Butchart_Gardens_Tour_by_Bus-Vancouver_British_Columbia.html,featured_tours_and_tickets
2,2,quebec_city_and_montmorency_falls_day_trip_from_montreal,canada,quebec,montreal,45.5001458,-73.5720264,115.0,4.5,https://tripadvisor.ca/AttractionProductDetail-g155032-d11448875-Quebec_City_and_Montmorency_Falls_Day_Trip_from_Montreal-Montreal_Quebec.html,featured_tours_and_tickets
3,3,niagara_falls_day_trip_from_toronto,canada,ontario,toronto,43.6561507,-79.3842642,169.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g155019-d11448318-Niagara_Falls_Day_Trip_from_Toronto-Toronto_Ontario.html,featured_tours_and_tickets
4,4,"best_of_niagara_falls_tour_from_niagara_falls,_ontario",canada,ontario,niagara_falls,43.0857136,-79.0824311,158.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g154998-d11454047-Best_of_Niagara_Falls_Tour_from_Niagara_Falls_Ontario-Niagara_Falls_Ontario.html,featured_tours_and_tickets
5,5,niagara_falls_in_one_day:_deluxe_sightseeing_tour_of_american_and_canadian_sides,canada,ontario,niagara_falls,43.102436,-78.961638,204.42,5.0,https://tripadvisor.ca/AttractionProductDetail-g154998-d11448213-Niagara_Falls_in_One_Day_Deluxe_Sightseeing_Tour_of_American_and_Canadian_Sides-Niagara_Falls_Ontario.html,featured_tours_and_tickets
6,6,whistler_small-group_day_trip_from_vancouver,canada,british_columbia,vancouver,49.1978322,-123.0649959,145.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g154943-d11450221-Whistler_Small_Group_Day_Trip_from_Vancouver-Vancouver_British_Columbia.html,featured_tours_and_tickets
7,7,ultimate_niagara_falls_tour_plus_helicopter_ride_and_skylon_tower_lunch,canada,ontario,niagara_falls,43.0857136,-79.0824311,317.42,5.0,https://tripadvisor.ca/AttractionProductDetail-g154998-d11454045-Ultimate_Niagara_Falls_Tour_plus_Helicopter_Ride_and_Skylon_Tower_Lunch-Niagara_Falls_Ontario.html,featured_tours_and_tickets
8,8,"local_food,_craft_beverage_and_estate_winery_tour_of_cowichan_valley",canada,british_columbia,vancouver_island,,,150.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g154935-d11479755-Local_Food_Craft_Beverage_and_Estate_Winery_Tour_of_Cowichan_Valley-Nanaimo_Vancouver_Island_British_Columbia.html,local_experiences
9,9,private_tour:_vancouver_to_victoria_island,canada,british_columbia,vancouver,49.2869235,-123.12216,670.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g154943-d11462278-Private_Tour_Vancouver_to_Victoria_Island-Vancouver_British_Columbia.html,local_experiences
10,10,"private_custom-made_niagara_falls_wine,_beer,_and_spirits_tour",canada,ontario,niagara_falls,,,139.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g154998-d13279338-Private_Custom_Made_Niagara_Falls_Wine_Beer_and_Spirits_Tour-Niagara_Falls_Ontario.html,local_experiences
11,11,vancouver_seaplane_tour,canada,british_columbia,vancouver,48.4241277,-123.3707833,135.0,5.0,https://tripadvisor.ca/AttractionProductDetail-g154943-d11448261-Vancouver_Seaplane_Tour-Vancouver_British_Columbia.html,"air,_helicopter_&_balloon_tours"
12,12,niagara_falls_grand_helicopter_tour,canada,ontario,niagara_falls,43.1888394,-79.1714688,131.5,5.0,https://tripadvisor.ca/AttractionProductDetail-g154998-d11447740-Niagara_Falls_Grand_Helicopter_Tour-Niagara_Falls_Ontario.html,"air,_helicopter_&_balloon_tours"
13,13,whistler_helicopter_tour,canada,british_columbia,whistler,49.1830074,-123.176599,187.95,5.0,https://tripadvisor.ca/AttractionProductDetail-g154948-d11455063-Whistler_Helicopter_Tour-Whistler_British_Columbia.html,"air,_helicopter_&_balloon_tours"
14,14,niagara_falls_helicopter_tour,canada,ontario,niagara_falls,43.1186039,-79.0743842,145.0,4.5,https://tripadvisor.ca/AttractionProductDetail-g154998-d11454179-Niagara_Falls_Helicopter_Tour-Niagara_Falls_Ontario.html,"air,_helicopter_&_balloon_tours"
